animal_id,age,louvain,region
8B3,13.09,4,NAc
42T,15.96,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
4Q6,3.22,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
41N,16.74,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2V1,4.3,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
74K,20.81,4,NAc
82V,16.01,4,NAc
82V,16.01,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
3E4,11.99,4,NAc
1P5,6.21,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
55R,14.97,4,NAc
8H2,10.13,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
7F0,11.2,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
41N,16.74,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
1L1,8.17,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
0G3,9.1,4,NAc
74K,20.81,4,NAc
82V,16.01,4,NAc
82V,16.01,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
1P5,6.21,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S2,6.31,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
1L1,8.17,4,NAc
1L1,8.17,4,NAc
1L1,8.17,4,NAc
2V1,4.3,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
82V,16.01,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
8C9,12.12,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S2,6.31,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
42T,15.96,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
46Z,13.97,4,NAc
4Q6,3.22,4,NAc
4Q6,3.22,4,NAc
4Q6,3.22,4,NAc
5H6,11.03,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
74K,20.81,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
8C9,12.12,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
42T,15.96,4,NAc
42T,15.96,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
56K,19.93,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
6O7,6.03,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
4J6,7.15,4,NAc
41N,16.74,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
3E4,11.99,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
3K1,9.01,4,NAc
3D1,13.11,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
2T2,4.09,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
82V,16.01,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
41N,16.74,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
1L1,8.17,4,NAc
1L1,8.17,4,NAc
2V1,4.3,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
74K,20.81,4,NAc
82V,16.01,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
8C9,12.12,4,NAc
1T9,4.11,4,NAc
6O7,6.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
3E4,11.99,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
8M0,8.12,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
56R,14.95,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
77V,16.15,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
8C9,12.12,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
4Q6,3.22,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
41N,16.74,4,NAc
41N,16.74,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
2V1,4.3,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
0G3,9.1,4,NAc
74K,20.81,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
8C9,12.12,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
3E4,11.99,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
2S6,3.17,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
8M0,8.12,4,NAc
2S2,6.31,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
42T,15.96,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
77V,16.15,4,NAc
77V,16.15,4,NAc
56K,19.93,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
46Z,13.97,4,NAc
4Q6,3.22,4,NAc
4Q6,3.22,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
5H6,11.03,4,NAc
4J6,7.15,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
6L4,8.2,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2I1,10.27,4,NAc
2V1,4.3,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
56K,19.93,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
0B9,12.11,4,NAc
8C9,12.12,4,NAc
1T9,4.11,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
2C6,14.03,4,NAc
3E4,11.99,4,NAc
3E4,11.99,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
8I6,9.9,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
2Q0,3.21,4,NAc
3R7,3.32,4,NAc
8M0,8.12,4,NAc
2S2,6.31,4,NAc
2S2,6.31,4,NAc
2S2,6.31,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
3K1,9.01,4,NAc
56R,14.95,4,NAc
3D1,13.11,4,NAc
3D1,13.11,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
5R4,6.25,4,NAc
2T2,4.09,4,NAc
2T2,4.09,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
98V,16.03,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
50P,15.59,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
7M4,8.15,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
97R,17.93,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
8B3,13.09,4,NAc
42T,15.96,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
2T6,5.18,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
31S,17.0,4,NAc
2I1,10.27,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
7F0,11.2,4,NAc
82V,16.01,4,NAc
43N,17.0,4,NAc
43N,17.0,4,NAc
0B9,12.11,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
4S3,3.18,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
91O,15.86,4,NAc
4Q6,3.22,4,NAc
4J6,7.15,4,NAc
