animal_id,age,louvain,region
82V,16.01,11,mdTN
82V,16.01,11,mdTN
5R4,6.25,11,mdTN
50P,15.59,11,mdTN
7M4,8.15,11,mdTN
8B3,13.09,11,mdTN
46Z,13.97,11,mdTN
5R4,6.25,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
77V,16.15,11,mdTN
77V,16.15,11,mdTN
77V,16.15,11,mdTN
77V,16.15,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
3E4,11.99,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
98V,16.03,11,mdTN
4Q6,3.22,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
3K1,9.01,11,mdTN
8H2,10.13,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
4Q6,3.22,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
43N,17.0,11,mdTN
43N,17.0,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2Q0,3.21,11,mdTN
31S,17.0,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
2S2,6.31,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
5R4,6.25,11,mdTN
4J6,7.15,11,mdTN
41N,16.74,11,mdTN
2V1,4.3,11,mdTN
77V,16.15,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
91O,15.86,11,mdTN
6D9,13.11,11,mdTN
3K1,9.01,11,mdTN
8H2,10.13,11,mdTN
8H2,10.13,11,mdTN
98V,16.03,11,mdTN
98V,16.03,11,mdTN
8B3,13.09,11,mdTN
3R7,3.32,11,mdTN
4J6,7.15,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
82V,16.01,11,mdTN
3R7,3.32,11,mdTN
41N,16.74,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
98V,16.03,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
77V,16.15,11,mdTN
74K,20.81,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
4S3,3.18,11,mdTN
2S2,6.31,11,mdTN
98V,16.03,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
91O,15.86,11,mdTN
6D9,13.11,11,mdTN
6D9,13.11,11,mdTN
6D9,13.11,11,mdTN
37V,15.07,11,mdTN
37V,15.07,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
55R,14.97,11,mdTN
55R,14.97,11,mdTN
55R,14.97,11,mdTN
5R4,6.25,11,mdTN
98V,16.03,11,mdTN
98V,16.03,11,mdTN
42T,15.96,11,mdTN
2T6,5.18,11,mdTN
5R4,6.25,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
77V,16.15,11,mdTN
77V,16.15,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
82V,16.01,11,mdTN
8M0,8.12,11,mdTN
3K1,9.01,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
4J6,7.15,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
8I6,9.9,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
91O,15.86,11,mdTN
5R4,6.25,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
56K,19.93,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
3K1,9.01,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
5R4,6.25,11,mdTN
98V,16.03,11,mdTN
8B3,13.09,11,mdTN
91O,15.86,11,mdTN
5R4,6.25,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
4S3,3.18,11,mdTN
82V,16.01,11,mdTN
3R7,3.32,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
7F0,11.2,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
31S,17.0,11,mdTN
2S2,6.31,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
2T6,5.18,11,mdTN
91O,15.86,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
37V,15.07,11,mdTN
2S2,6.31,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
2T2,4.09,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
4J6,7.15,11,mdTN
2I1,10.27,11,mdTN
2I1,10.27,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
6D9,13.11,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
46Z,13.97,11,mdTN
3R7,3.32,11,mdTN
5H6,11.03,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
77V,16.15,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
82V,16.01,11,mdTN
2S2,6.31,11,mdTN
2S2,6.31,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
46Z,13.97,11,mdTN
5R4,6.25,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
91O,15.86,11,mdTN
3R7,3.32,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
77V,16.15,11,mdTN
77V,16.15,11,mdTN
37V,15.07,11,mdTN
2S2,6.31,11,mdTN
55R,14.97,11,mdTN
8H2,10.13,11,mdTN
50P,15.59,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
6L4,8.2,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
2Q0,3.21,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
6D9,13.11,11,mdTN
2S2,6.31,11,mdTN
55R,14.97,11,mdTN
98V,16.03,11,mdTN
98V,16.03,11,mdTN
50P,15.59,11,mdTN
91O,15.86,11,mdTN
4J6,7.15,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
2V1,4.3,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
82V,16.01,11,mdTN
1G8,7.88,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
3K1,9.01,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
5R4,6.25,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
4Q6,3.22,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
77V,16.15,11,mdTN
3T5,5.12,11,mdTN
98V,16.03,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
46Z,13.97,11,mdTN
2T2,4.09,11,mdTN
4J6,7.15,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
77V,16.15,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
2Q0,3.21,11,mdTN
4S3,3.18,11,mdTN
3T5,5.12,11,mdTN
2S2,6.31,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
5R4,6.25,11,mdTN
6L4,8.2,11,mdTN
2I1,10.27,11,mdTN
1L1,8.17,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
82V,16.01,11,mdTN
2S2,6.31,11,mdTN
3T5,5.12,11,mdTN
5R4,6.25,11,mdTN
8B3,13.09,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
77V,16.15,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
8C9,12.12,11,mdTN
8C9,12.12,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
82V,16.01,11,mdTN
6D9,13.11,11,mdTN
3R7,3.32,11,mdTN
8H2,10.13,11,mdTN
5R4,6.25,11,mdTN
5R4,6.25,11,mdTN
91O,15.86,11,mdTN
3R7,3.32,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
91O,15.86,11,mdTN
82V,16.01,11,mdTN
55R,14.97,11,mdTN
55R,14.97,11,mdTN
8B3,13.09,11,mdTN
31S,17.0,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
82V,16.01,11,mdTN
6D9,13.11,11,mdTN
37V,15.07,11,mdTN
55R,14.97,11,mdTN
3D1,13.11,11,mdTN
7M4,8.15,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
4Q6,3.22,11,mdTN
3R7,3.32,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
4S3,3.18,11,mdTN
6D9,13.11,11,mdTN
6D9,13.11,11,mdTN
37V,15.07,11,mdTN
56R,14.95,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
5R4,6.25,11,mdTN
5R4,6.25,11,mdTN
5R4,6.25,11,mdTN
98V,16.03,11,mdTN
98V,16.03,11,mdTN
50P,15.59,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
31S,17.0,11,mdTN
91O,15.86,11,mdTN
46Z,13.97,11,mdTN
3R7,3.32,11,mdTN
5R4,6.25,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
56K,19.93,11,mdTN
8C9,12.12,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
5R4,6.25,11,mdTN
98V,16.03,11,mdTN
42T,15.96,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
0B9,12.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
2S2,6.31,11,mdTN
55R,14.97,11,mdTN
3T5,5.12,11,mdTN
98V,16.03,11,mdTN
2T6,5.18,11,mdTN
31S,17.0,11,mdTN
2I1,10.27,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
82V,16.01,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
91O,15.86,11,mdTN
3T5,5.12,11,mdTN
6D9,13.11,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
5R4,6.25,11,mdTN
98V,16.03,11,mdTN
3R7,3.32,11,mdTN
5R4,6.25,11,mdTN
41N,16.74,11,mdTN
1V8,4.31,11,mdTN
1V8,4.31,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
91O,15.86,11,mdTN
8M0,8.12,11,mdTN
2S2,6.31,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
3K1,9.01,11,mdTN
5R4,6.25,11,mdTN
2T2,4.09,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
6L4,8.2,11,mdTN
2V1,4.3,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
56K,19.93,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
3K1,9.01,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
42T,15.96,11,mdTN
91O,15.86,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
4S3,3.18,11,mdTN
82V,16.01,11,mdTN
2S2,6.31,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
2T6,5.18,11,mdTN
4J6,7.15,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
77V,16.15,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
6O7,6.03,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
4S3,3.18,11,mdTN
4S3,3.18,11,mdTN
77V,16.15,11,mdTN
8H2,10.13,11,mdTN
98V,16.03,11,mdTN
42T,15.96,11,mdTN
91O,15.86,11,mdTN
6L4,8.2,11,mdTN
1L1,8.17,11,mdTN
1L1,8.17,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
1P5,6.21,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
5R4,6.25,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
31S,17.0,11,mdTN
41N,16.74,11,mdTN
1L1,8.17,11,mdTN
82V,16.01,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
1P5,6.21,11,mdTN
8I6,9.9,11,mdTN
4S3,3.18,11,mdTN
50P,15.59,11,mdTN
8B3,13.09,11,mdTN
4J6,7.15,11,mdTN
4J6,7.15,11,mdTN
41N,16.74,11,mdTN
1V8,4.31,11,mdTN
2V1,4.3,11,mdTN
2V1,4.3,11,mdTN
74K,20.81,11,mdTN
56K,19.93,11,mdTN
0B9,12.11,11,mdTN
8C9,12.12,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
1P5,6.21,11,mdTN
31S,17.0,11,mdTN
37V,15.07,11,mdTN
5R4,6.25,11,mdTN
5R4,6.25,11,mdTN
42T,15.96,11,mdTN
4Q6,3.22,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
2I1,10.27,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
82V,16.01,11,mdTN
82V,16.01,11,mdTN
43N,17.0,11,mdTN
43N,17.0,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
82V,16.01,11,mdTN
2S2,6.31,11,mdTN
3K1,9.01,11,mdTN
3T5,5.12,11,mdTN
8H2,10.13,11,mdTN
8H2,10.13,11,mdTN
98V,16.03,11,mdTN
98V,16.03,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
6L4,8.2,11,mdTN
7F0,11.2,11,mdTN
7F0,11.2,11,mdTN
74K,20.81,11,mdTN
0B9,12.11,11,mdTN
0B9,12.11,11,mdTN
1T9,4.11,11,mdTN
6O7,6.03,11,mdTN
2C6,14.03,11,mdTN
2C6,14.03,11,mdTN
3E4,11.99,11,mdTN
3E4,11.99,11,mdTN
1G8,7.88,11,mdTN
55R,14.97,11,mdTN
8B3,13.09,11,mdTN
8B3,13.09,11,mdTN
42T,15.96,11,mdTN
91O,15.86,11,mdTN
3R7,3.32,11,mdTN
4J6,7.15,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
6L4,8.2,11,mdTN
41N,16.74,11,mdTN
41N,16.74,11,mdTN
7F0,11.2,11,mdTN
